user_id,username,password,user_role,name,nickname,created_by,created_at,modified_by,modified_at,deleted_by,deleted_at
9107aa7c-a733-4514-8033-89e601a450ab,user00001,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,오준서,빠른강아지1,00000000-0000-0000-0000-000000000000,2026-03-05 03:52:28,,,,
aaf3ee53-a4fa-4823-9e32-97ae16ded883,user00002,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,MANAGER,송민준,멋진강아지2,00000000-0000-0000-0000-000000000000,2025-06-23 14:17:00,,,,
9392497e-7214-46ee-bce6-e44ce188dd78,user00003,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,MANAGER,신준우,멋진늑대3,00000000-0000-0000-0000-000000000000,2025-08-16 09:38:29,,,,
3e8f1c95-9ed6-4b44-b9e9-c2f22ce7f81e,user00004,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,정하준,조용한호랑이4,00000000-0000-0000-0000-000000000000,2026-01-16 03:37:52,,,,
d65f2852-c66f-450d-8d65-e1c2e1d88925,user00005,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,이서현,느린고양이5,00000000-0000-0000-0000-000000000000,2024-08-07 05:52:09,,,,
f669b455-1b5e-44d2-98f4-7457a68dea85,user00006,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,송지후,빠른사슴6,00000000-0000-0000-0000-000000000000,2024-11-17 19:09:22,,,,
aaf662f5-6f6b-4152-85c7-cdb90ec5b0ab,user00007,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,이지윤,멋진토끼7,00000000-0000-0000-0000-000000000000,2025-03-04 09:03:31,,,,
fe3dbabc-fa35-4aab-9321-574ad9365361,user00008,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,강수아,멋진호랑이8,00000000-0000-0000-0000-000000000000,2025-07-16 02:22:20,,,,
8bf3f3e2-6b5c-43b4-a506-04dd47fc8bfc,user00009,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,송하린,엉뚱한토끼9,00000000-0000-0000-0000-000000000000,2024-10-24 14:32:53,,,,
63b153fb-2a9d-4d0f-977c-a729ba715844,user00010,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,김민서,조용한호랑이10,00000000-0000-0000-0000-000000000000,2024-08-30 00:30:04,,,,
2d4dc907-6f98-4789-9ab1-1ed1ad48efdc,user00011,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,MANAGER,조준우,밝은토끼11,00000000-0000-0000-0000-000000000000,2025-12-04 10:35:55,,,,
01696e0a-4e25-4eed-9961-00cf0524abbe,user00012,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,MANAGER,황서연,멋진곰12,00000000-0000-0000-0000-000000000000,2025-02-03 03:51:58,,,,
2b7a5777-cb10-4ea7-ad0b-b678b9cced1e,user00013,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,강지윤,빠른호랑이13,00000000-0000-0000-0000-000000000000,2024-10-20 22:38:34,,,,
151077fe-faa8-418b-8788-a04e591c074d,user00014,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,장민준,엉뚱한강아지14,00000000-0000-0000-0000-000000000000,2026-01-09 08:07:33,,,,
4e79d363-e388-4282-ad62-637c0a68b163,user00015,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,안민서,용감한독수리15,00000000-0000-0000-0000-000000000000,2026-04-28 01:54:24,,,,
6db71a52-e5c5-4a52-9e11-d157ae2c75f3,user00016,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,권서연,활발한호랑이16,00000000-0000-0000-0000-000000000000,2024-11-22 03:37:28,,,,
b8213202-5018-4b16-89e1-0464f076ae96,user00017,$2b$10$Goi9OyKM5cOEHwsrl16XO.P9vT/sn5KpwLaS2qorJPBCOuCgkNFpm,USER,송지아,귀여운여우17,00000000-0000-0000-0000-000000000000,2024-10-21 22:28:04,,,,
